Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
-1414,235,248,60.79,58.86,,,2390.6497999999997,338.37019999999995,0.027812140154630682,2025-10-09 22:00:00+00:00,2025-10-13 00:00:00+00:00,3 days 02:00:00,,,58.63,,58.14,,,,
1507,254,263,58.63,58.25,58.25,59.39000000000001,-924.9363200000039,352.27632000000006,-0.01046836090738539,2025-10-13 12:00:00+00:00,2025-10-14 06:00:00+00:00,0 days 18:00:00,,,,,,,58.63,,58.84
-1509,266,278,57.94,58.63,58.63,56.55999999999999,-1393.0182600000073,351.80825999999996,-0.01593268898860907,2025-10-14 12:00:00+00:00,2025-10-15 12:00:00+00:00,1 days 00:00:00,,,,,,,,,
-1488,281,284,57.84,58.26,58.26,57.000000000000014,-970.473599999992,345.5136,-0.011275933609958481,2025-10-15 18:00:00+00:00,2025-10-16 00:00:00+00:00,0 days 06:00:00,,,,,,,,,
-1506,301,302,56.49,56.78,,56.07,-777.9092399999988,341.16924000000006,-0.009143919277748158,2025-10-17 10:00:00+00:00,2025-10-17 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1484,312,314,56.81,56.09,57.17,56.09,733.3927999999981,335.08720000000005,0.008699172680865995,2025-10-20 08:00:00+00:00,2025-10-20 12:00:00+00:00,0 days 04:00:00,,,,,,,,,
1490,326,327,57.07,56.15,,58.29,-1708.1956000000025,337.3956,-0.020088312598563144,2025-10-21 12:00:00+00:00,2025-10-21 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
1455,332,333,57.26,57.48,57.15,57.48,-13.793400000001668,333.8934,-0.00016556060076835123,2025-10-22 00:00:00+00:00,2025-10-22 02:00:00+00:00,0 days 02:00:00,,,,,,,,,
1440,335,341,57.87,59.29,57.16,59.29,1707.3792000000026,337.4208,0.02048868152756189,2025-10-22 06:00:00+00:00,2025-10-22 18:00:00+00:00,0 days 12:00:00,,,,,,,,,
1393,350,366,61.04,61.2,,,-117.6806399999949,340.56064000000003,-0.0013840104849278684,2025-10-23 12:00:00+00:00,2025-10-24 20:00:00+00:00,1 days 08:00:00,,,,,,,61.21,,61.22
-1380,367,368,61.54,61.64,,,-477.97680000000196,339.9768,-0.00562820929476762,2025-10-26 22:00:00+00:00,2025-10-27 00:00:00+00:00,0 days 02:00:00,,61.49,61.25,61.42,61.21,,,,
1373,368,370,61.49,61.24,,,-680.26658,337.01658,-0.00805757033664009,2025-10-27 00:00:00+00:00,2025-10-27 04:00:00+00:00,0 days 04:00:00,,61.25,,61.21,,,,,
-1362,370,372,61.48,60.95999999999999,61.74,60.95999999999999,374.7134400000139,333.52655999999996,0.004474951203643594,2025-10-27 04:00:00+00:00,2025-10-27 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1395,385,401,60.3,60.37,,,-434.31930000000045,336.6693,-0.005163184079601996,2025-10-28 10:00:00+00:00,2025-10-29 18:00:00+00:00,1 days 08:00:00,,,,,,,,,
1390,401,402,60.22,60.05,,60.5,-570.6506000000023,334.3506,-0.006817336433078735,2025-10-29 18:00:00+00:00,2025-10-29 20:00:00+00:00,0 days 02:00:00,,,,,,,60.15,,60.22
-1382,403,407,60.15,59.60999999999999,60.42,59.60999999999999,415.2633600000086,331.01664,0.004995511221945289,2025-10-29 22:00:00+00:00,2025-10-30 06:00:00+00:00,0 days 08:00:00,,,,,,,,,
1388,413,415,60.16,60.02,,,-527.939679999991,333.61968,-0.006322473404255175,2025-10-30 18:00:00+00:00,2025-10-30 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1382,416,422,60.04,60.41,60.41,59.300000000000004,-844.2637999999965,332.9238,-0.010174883411059151,2025-10-31 00:00:00+00:00,2025-10-31 12:00:00+00:00,0 days 12:00:00,,,,,,,,,
1350,428,445,60.85,59.85,,,-1675.8899999999999,325.89,-0.02040098603122436,2025-11-03 00:00:00+00:00,2025-11-04 10:00:00+00:00,1 days 10:00:00,,60.82,,60.64,,,59.96,,60.29
-1342,446,447,59.96,60.34,60.34,59.199999999999996,-832.8452000000035,322.88520000000005,-0.01035023348899275,2025-11-04 12:00:00+00:00,2025-11-04 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
1321,449,451,60.3,60.15,,,-516.3788999999981,318.22889999999995,-0.006482587064676549,2025-11-04 18:00:00+00:00,2025-11-04 22:00:00+00:00,0 days 04:00:00,,,,,,,60.17,,60.2
-1315,453,454,60.17,60.28,60.28,59.95,-461.43349999999924,316.7835,-0.005831809872029203,2025-11-05 02:00:00+00:00,2025-11-05 04:00:00+00:00,0 days 02:00:00,,,60.15,,60.06,,,,
1308,455,457,60.15,60.809999999999995,59.82,60.809999999999995,546.8486399999956,316.43136,0.006950623441396447,2025-11-05 06:00:00+00:00,2025-11-05 10:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1330,466,467,59.58,59.59,,,-330.2922000000068,316.9922,-0.004168177240684799,2025-11-06 04:00:00+00:00,2025-11-06 06:00:00+00:00,0 days 02:00:00,,59.5,,59.45,,,,,
1326,467,468,59.5,59.31,59.31,59.879999999999995,-567.024119999997,315.08412,-0.007186890756302487,2025-11-06 06:00:00+00:00,2025-11-06 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1325,473,475,59.13,59.38,,,-645.3015,314.05150000000003,-0.008236428209031005,2025-11-06 18:00:00+00:00,2025-11-06 22:00:00+00:00,0 days 04:00:00,,,59.35,,59.23,,,,
1309,476,479,59.35,59.71,59.17,59.71,159.54091999999923,311.69908000000004,0.002053580454928393,2025-11-07 00:00:00+00:00,2025-11-07 06:00:00+00:00,0 days 06:00:00,,,59.55,,59.54,,,,
1306,482,483,59.61,59.55,59.55,59.730000000000004,-389.605920000003,311.24592,-0.005004529441368895,2025-11-07 12:00:00+00:00,2025-11-07 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
1296,492,495,59.75,59.49,59.49,60.269999999999996,-646.0300799999975,309.0700800000001,-0.008342761506276154,2025-11-10 08:00:00+00:00,2025-11-10 14:00:00+00:00,0 days 06:00:00,,,,,,,,,
1267,512,514,60.61,60.52,,,-420.9734199999953,306.94342,-0.005481933674311067,2025-11-12 00:00:00+00:00,2025-11-12 04:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1309,529,530,58.35,58.72,58.72,57.61000000000001,-790.8192599999967,306.48926000000006,-0.010353727506426628,2025-11-13 10:00:00+00:00,2025-11-13 12:00:00+00:00,0 days 02:00:00,,,58.54,,58.18,,,,
1291,531,536,58.54,59.419999999999995,58.1,59.419999999999995,831.507279999994,304.57272,0.011002391527160949,2025-11-13 14:00:00+00:00,2025-11-14 00:00:00+00:00,0 days 10:00:00,,,58.7,,58.5,,,,
1290,539,548,59.26,59.28,,,-280.03319999999593,305.8332,-0.0036631792102598953,2025-11-14 06:00:00+00:00,2025-11-17 00:00:00+00:00,2 days 18:00:00,,,,,,,59.31,,59.55
-1284,551,553,59.31,59.57,59.57,58.790000000000006,-639.1238399999975,305.28384000000005,-0.008392513909964613,2025-11-17 06:00:00+00:00,2025-11-17 10:00:00+00:00,0 days 04:00:00,,,59.44,,59.4,,,,
1266,555,557,59.66,59.44,59.44,60.099999999999994,-580.0811999999985,301.5612,-0.007680187730472619,2025-11-17 14:00:00+00:00,2025-11-17 18:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1262,564,565,59.39,59.6,59.6,58.97,-565.3507600000011,300.33076,-0.0075430207105572624,2025-11-18 08:00:00+00:00,2025-11-18 10:00:00+00:00,0 days 02:00:00,,,59.35,,59.28,,,,
1249,567,568,59.56,59.980000000000004,59.35,59.980000000000004,225.96908000000207,298.61092,0.0030376091336468273,2025-11-18 14:00:00+00:00,2025-11-18 16:00:00+00:00,0 days 02:00:00,,,,,,,,,
1238,572,575,60.25,60.07,60.07,60.61,-520.7523199999996,297.91232,-0.006981576763485445,2025-11-19 00:00:00+00:00,2025-11-19 06:00:00+00:00,0 days 06:00:00,,,,,,,,,
-1255,580,584,59.04,59.34,59.34,58.43999999999999,-673.6338000000053,297.1338,-0.009091463414634189,2025-11-19 16:00:00+00:00,2025-11-20 00:00:00+00:00,0 days 08:00:00,,,,,,,,,
1235,590,592,59.45,59.17,59.17,60.010000000000005,-638.7914000000014,292.9914,-0.008700420521446579,2025-11-20 12:00:00+00:00,2025-11-20 16:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1251,599,600,58.15,57.589999999999996,58.43,57.589999999999996,410.9785200000029,289.58148,0.005649527085124746,2025-11-21 06:00:00+00:00,2025-11-21 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1270,613,615,57.64,57.97,,,-712.7493999999979,293.6494,-0.009736641221374083,2025-11-24 10:00:00+00:00,2025-11-24 14:00:00+00:00,0 days 04:00:00,,,,,,,,,
1257,615,617,57.65,58.449999999999996,57.25,58.449999999999996,713.7245999999964,291.8754,0.009849089332176809,2025-11-24 14:00:00+00:00,2025-11-24 18:00:00+00:00,0 days 04:00:00,,,58.33,,57.99,,,,
1249,620,622,58.59,58.39,,,-542.0160400000036,292.21604,-0.007406724697047321,2025-11-25 00:00:00+00:00,2025-11-25 04:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1262,628,643,57.56,58.37,,,-1314.827319999994,292.60732,-0.01810041695621943,2025-11-25 16:00:00+00:00,2025-11-26 22:00:00+00:00,1 days 06:00:00,,,,,,,,,
1223,643,673,58.32,58.74,,,227.33124000000214,286.32876,0.0031872427983540156,2025-11-26 22:00:00+00:00,2025-12-01 14:00:00+00:00,4 days 16:00:00,,,,,,,,,
-1210,673,695,59.13,59.27,,,-455.9280000000007,286.528,-0.0063723997970574426,2025-12-01 14:00:00+00:00,2025-12-03 10:00:00+00:00,1 days 20:00:00,,,59.17,,58.78,,,,
1202,696,698,59.17,58.67,58.67,60.17,-884.28736,283.28736,-0.012433327699847934,2025-12-03 12:00:00+00:00,2025-12-03 16:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1182,717,718,59.41,59.5,59.5,59.22999999999999,-387.48324000000406,281.10324,-0.00551792627503785,2025-12-05 06:00:00+00:00,2025-12-05 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
1170,730,731,59.67,59.28,59.28,60.45,-734.6430000000007,278.343,-0.010522875816993441,2025-12-08 08:00:00+00:00,2025-12-08 10:00:00+00:00,0 days 02:00:00,,,,,,,59.44,,59.92
-1178,737,743,58.67,58.9,58.9,58.21000000000001,-547.9349199999963,276.99492,-0.007928072268621132,2025-12-08 22:00:00+00:00,2025-12-09 10:00:00+00:00,0 days 12:00:00,,,,,,,,,
-1178,747,761,58.18,58.7,,,-887.9292800000037,275.36928,-0.012955654864214562,2025-12-09 18:00:00+00:00,2025-12-10 22:00:00+00:00,1 days 04:00:00,,,,,,,,,
1156,761,765,58.54,58.06,,,-824.4591999999964,269.5792,-0.012183122651178588,2025-12-10 22:00:00+00:00,2025-12-11 06:00:00+00:00,0 days 08:00:00,,,,,,,58.07,,58.2
-1161,768,770,57.56,56.94000000000001,57.87,56.94000000000001,453.95099999998877,265.869,0.0067929117442667025,2025-12-11 12:00:00+00:00,2025-12-11 16:00:00+00:00,0 days 04:00:00,,,,,,,57.28,,57.35
-1175,771,772,57.28,57.58,,57.040000000000006,-622.4209999999966,269.92100000000005,-0.009247905027932896,2025-12-11 18:00:00+00:00,2025-12-11 20:00:00+00:00,0 days 02:00:00,,,57.45,,57.28,,,,
1156,774,778,57.67,57.45,57.45,58.11,-520.4774399999988,266.15744,-0.00780717877579326,2025-12-12 00:00:00+00:00,2025-12-12 08:00:00+00:00,0 days 08:00:00,,,,,,,,,
-1152,780,788,57.43,57.51,,,-356.9817599999981,264.82176000000004,-0.005395786174473165,2025-12-12 12:00:00+00:00,2025-12-15 04:00:00+00:00,2 days 16:00:00,,,,,,,,,
1145,788,790,57.46,57.33,57.33,57.720000000000006,-411.7191000000029,262.8691,-0.006257918552036191,2025-12-15 04:00:00+00:00,2025-12-15 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1155,795,802,56.62,55.87999999999999,56.99,55.87999999999999,594.8250000000105,259.875,0.009095725891911193,2025-12-15 18:00:00+00:00,2025-12-16 08:00:00+00:00,0 days 14:00:00,,,,,,,,,
-1183,804,811,55.75,55.49,,,44.38615999999763,263.19384,0.0006730044843048745,2025-12-16 12:00:00+00:00,2025-12-17 02:00:00+00:00,0 days 14:00:00,,,55.48,,55.34,,,,
1176,816,817,56.15,55.65,55.65,57.15,-850.9536,262.9536,-0.012886910062333085,2025-12-17 12:00:00+00:00,2025-12-17 14:00:00+00:00,0 days 02:00:00,,,,,,,56.11,,56.15
-1162,820,821,56.11,56.67,,55.769999999999996,-912.8207200000027,262.10072,-0.014000356442701875,2025-12-17 20:00:00+00:00,2025-12-17 22:00:00+00:00,0 days 02:00:00,,,56.63,,55.99,,,,
1135,822,823,56.63,55.86,55.86,58.17000000000001,-1129.3023000000035,255.3523,-0.017569839307787476,2025-12-18 00:00:00+00:00,2025-12-18 02:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1123,825,841,56.21,56.38,,,-443.78714000000195,252.87714000000003,-0.007030421633161435,2025-12-18 06:00:00+00:00,2025-12-19 14:00:00+00:00,1 days 08:00:00,,,,,,,,,
1120,841,889,56.0,57.33,,,1235.7407999999982,253.8592,0.01970249999999994,2025-12-19 14:00:00+00:00,2025-12-26 16:00:00+00:00,7 days 02:00:00,,,,,,,57.37,,57.91
-1123,892,894,56.94,57.03,,,-357.0466200000038,255.97662,-0.005583772391991662,2025-12-28 22:00:00+00:00,2025-12-29 02:00:00+00:00,0 days 04:00:00,,,,,,,,,
1103,904,915,57.62,57.86,,,9.971120000002173,254.74888,0.0001568899687609572,2025-12-29 22:00:00+00:00,2025-12-30 20:00:00+00:00,0 days 22:00:00,,,,,,,,,
-1097,919,923,57.98,58.26,58.26,57.419999999999995,-562.1905600000011,255.03055999999998,-0.008838909968954912,2025-12-31 04:00:00+00:00,2025-12-31 12:00:00+00:00,0 days 08:00:00,,,,,,,,,
-1098,928,931,57.39,57.68,57.68,56.81,-571.113719999999,252.69371999999998,-0.009063251437532678,2026-01-01 22:00:00+00:00,2026-01-02 04:00:00+00:00,0 days 06:00:00,,,57.54,,57.47,,,,
1085,933,934,57.54,57.12,,57.779999999999994,-704.5122000000019,248.81220000000002,-0.011284671532846707,2026-01-02 08:00:00+00:00,2026-01-02 10:00:00+00:00,0 days 02:00:00,,,,,,,57.46,,57.59
-1085,937,938,56.89,57.22,57.22,56.230000000000004,-605.6686999999981,247.6187,-0.009812269291615295,2026-01-02 16:00:00+00:00,2026-01-02 18:00:00+00:00,0 days 02:00:00,,,,,,,,,
1070,940,943,57.12,56.83,56.83,57.699999999999996,-554.1529999999991,243.853,-0.009066876750700264,2026-01-04 22:00:00+00:00,2026-01-05 04:00:00+00:00,0 days 06:00:00,,,,,,,57.03,,57.15
-1062,945,946,57.03,57.31,,56.510000000000005,-540.2181600000013,242.85816,-0.008919516044187246,2026-01-05 08:00:00+00:00,2026-01-05 10:00:00+00:00,0 days 02:00:00,,,57.1,,56.92,,,,
